evaluation_id,session_id,task_id,task_order,agent,strategy,scope_id,metric_name,category,status,value,unit,direction,delta_run_local,delta_trajectory_cumulative,findings
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,pass,0.0,ratio,lower_is_better,0.0,0.0,Violating modules: 0/2 (0)
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-DEP-M-001-dependency-violation-density,DEP,pass,0.0,ratio,lower_is_better,0.0,0.0,MVC violations: 0 | Cyclic dependency count: 0 | Total import edges: 97 | Dependency violation density: 0
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-DOM-M-001-cross-module-deep-import-count,DOM,pass,0.0,count,lower_is_better,0.0,0.0,Cross-module deep import count: 0 | Source rule: BE-DOM-C-001-no-cross-module-deep-import
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-ERR-M-001-exception-unification-violation-density,ERR,pass,0.0,ratio,lower_is_better,0.0,0.0,"Weighted exception-rule violations: 0 | Service file count: 2 | Exception unification violation density: 0 | Source rules: BE-ERR-C-001-no-http-exception-in-service, BE-ERR-C-002-throw-only-app-exception, BE-ERR-C-003-no-silent-catch | Baseline report unavailable; delta_vs_baseline set to null."
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,pass,1.0,ratio,higher_is_better,0.0,0.0,DTO validator coverage: 26/26 (1)
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-TEST-M-001-test-coverage,TEST,pass,34.47,percent,higher_is_better,0.0,0.0,Backend line coverage: 34.47%
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-MOCK-M-001-mock-per-test-case,MOCK,pass,0.0,ratio,lower_is_better,0.0,0.0,Mocks per test case: 0/37 (0)
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,pass,0.0,ratio,lower_is_better,0.0,0.0,"Route prefix/path violations: 0/10 (0) | Global prefix ""api"" detected."
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,pass,0.0,ratio,lower_is_better,0.0,0.0,Methods over complexity limit (10): 0/24 (0) | Average cyclomatic complexity: 1.7083
baseline/Base,baseline,Base,0,baseline,baseline,backend,BE-DUP-M-001-clone-ratio,DUP,pass,0.137639,ratio,lower_is_better,0.0,0.0,Duplicated lines: 211/1533 (0.137639) | Clone matches found: 20+ (sample capped)
